OFFENSE_CODE,YEAR,MONTH
1106,2017,10
3201,2017,10
3201,2017,10
3410,2017,10
614,2017,10
613,2017,10
2612,2017,10
802,2017,10
3115,2017,10
613,2017,10
2007,2017,10
301,2017,10
301,2017,10
413,2017,10
614,2017,10
3201,2017,10
3115,2017,10
3301,2017,10
521,2017,10
617,2017,10
3114,2017,10
3201,2017,10
3115,2017,10
301,2017,10
1842,2017,10
1846,2017,10
2610,2017,10
381,2017,10
724,2017,10
1402,2017,10
3114,2017,10
3201,2017,10
3207,2017,10
616,2017,10
614,2017,10
3125,2017,10
3501,2017,10
3502,2017,10
3201,2017,10
3410,2017,10
3115,2017,10
3410,2017,10
540,2017,10
311,2017,10
3831,2017,10
1402,2017,10
617,2017,10
540,2017,10
1402,2017,10
2616,2017,10
3802,2017,10
614,2017,10
3201,2017,10
3410,2017,10
3301,2017,10
3201,2017,10
3115,2017,10
3006,2017,10
3831,2017,10
3803,2017,10
3208,2017,10
1304,2017,10
735,2017,10
1402,2017,10
3125,2017,10
1402,2017,10
522,2017,10
1402,2017,10
3831,2017,10
3301,2017,10
617,2017,10
3301,2017,10
3410,2017,10
2900,2017,10
2906,2017,10
1402,2017,10
1300,2017,10
1503,2017,10
3115,2017,10
540,2017,10
541,2017,10
3820,2017,10
3006,2017,10
3114,2017,10
3115,2017,10
3803,2017,10
3115,2017,10
2647,2017,10
3006,2017,10
619,2017,10
3410,2017,10
802,2017,10
413,2017,10
3803,2017,10
2905,2017,10
3501,2017,10
3502,2017,10
3207,2017,10
3115,2017,10
3125,2017,10
3501,2017,10
3502,2017,10
2900,2017,10
3410,2017,10
413,2017,10
3018,2017,10
724,2017,10
3114,2017,10
3111,2017,10
802,2017,10
3006,2017,10
3301,2017,10
802,2017,10
2405,2017,10
3125,2017,10
3805,2017,10
423,2017,10
3115,2017,10
3114,2017,10
3006,2017,10
802,2017,10
3830,2017,10
3301,2017,10
3802,2017,10
2662,2017,10
413,2017,10
2647,2017,10
619,2017,10
3803,2017,10
724,2017,10
3801,2017,10
3410,2017,10
2647,2017,10
802,2017,10
1402,2017,10
3831,2017,10
3114,2017,10
1402,2017,10
3115,2017,10
2914,2017,10
3115,2017,10
2647,2017,10
3831,2017,10
301,2017,10
3410,2017,10
3006,2017,10
3112,2017,10
3301,2017,10
617,2017,10
3301,2017,10
2101,2017,10
3001,2017,10
1402,2017,10
3115,2017,10
802,2017,10
2007,2017,10
613,2017,10
3116,2017,10
2010,2017,10
3831,2017,10
3018,2017,10
802,2017,10
3201,2017,10
3820,2017,10
1402,2017,10
613,2017,10
3410,2017,10
3802,2017,10
3831,2017,10
3006,2017,10
3803,2017,10
3115,2017,10
1402,2017,10
617,2017,10
617,2017,10
802,2017,10
3115,2017,10
3006,2017,10
616,2017,10
614,2017,10
3006,2017,10
3820,2017,10
3006,2017,10
614,2017,10
3410,2017,10
3114,2017,10
3831,2017,10
802,2017,10
2905,2017,10
3805,2017,10
3301,2017,10
613,2017,10
802,2017,10
3831,2017,10
3006,2017,10
3115,2017,10
3115,2017,10
3207,2017,10
3803,2017,10
522,2017,10
2914,2017,10
3410,2017,10
2629,2017,10
423,2017,10
311,2017,10
1503,2017,10
2660,2017,10
3109,2017,10
1402,2017,10
2629,2017,10
615,2017,10
614,2017,10
1402,2017,10
2647,2017,10
2900,2017,10
2905,2017,10
3802,2017,10
2905,2017,10
3801,2017,10
802,2017,10
2647,2017,10
619,2017,10
1109,2017,10
613,2017,10
2647,2017,10
3301,2017,10
3115,2017,10
2632,2017,10
1402,2017,10
2647,2017,10
3301,2017,10
3115,2017,10
3830,2017,10
614,2017,10
613,2017,10
3201,2017,10
3006,2017,10
1402,2017,10
3207,2017,10
1304,2017,10
619,2017,10
3115,2017,10
1831,2017,10
616,2017,10
1402,2017,10
2647,2017,10
613,2017,10
3006,2017,10
619,2017,10
3831,2017,10
3006,2017,10
614,2017,10
520,2017,10
3820,2017,10
3301,2017,10
614,2017,10
1109,2017,10
3410,2017,10
802,2017,10
2629,2017,10
1304,2017,10
3006,2017,10
3006,2017,10
1402,2017,10
3114,2017,10
3301,2017,10
2610,2017,10
3301,2017,10
619,2017,10
617,2017,10
3801,2017,10
3501,2017,10
3501,2017,10
3502,2017,10
2647,2017,10
802,2017,10
615,2017,10
3301,2017,10
1402,2017,10
3125,2017,10
724,2017,10
3115,2017,10
2647,2017,10
617,2017,10
614,2017,10
614,2017,10
3831,2017,10
3803,2017,10
3410,2017,10
3503,2017,10
3115,2017,10
613,2017,10
3006,2017,10
802,2017,10
3115,2017,10
735,2017,10
3410,2017,10
3106,2017,10
614,2017,10
1102,2017,10
3201,2017,10
3114,2017,10
1402,2017,10
3114,2017,10
3410,2017,10
614,2017,10
3502,2017,10
301,2017,10
802,2017,10
3006,2017,10
3831,2017,10
802,2017,10
413,2017,10
3208,2017,10
2907,2017,10
2900,2017,10
3125,2017,10
3006,2017,10
3006,2017,10
3115,2017,10
802,2017,10
802,2017,10
1402,2017,10
3115,2017,10
3301,2017,10
724,2017,10
3831,2017,10
3304,2017,10
3410,2017,10
3802,2017,10
735,2017,10
3831,2017,10
735,2017,10
3831,2017,10
3006,2017,10
2405,2017,10
3006,2017,10
3801,2017,10
2405,2017,10
3501,2017,10
423,2017,10
1300,2017,10
2629,2017,10
802,2017,10
3501,2017,10
3502,2017,10
3304,2017,10
3803,2017,10
1402,2017,10
3801,2017,10
540,2017,10
3114,2017,10
1402,2017,10
2662,2017,10
3502,2017,10
3501,2017,10
3006,2017,10
1001,2017,10
2906,2017,10
3830,2017,10
802,2017,10
619,2017,10
301,2017,10
3301,2017,10
3801,2017,10
3501,2017,10
3502,2017,10
3802,2017,10
617,2017,10
3831,2017,10
3801,2017,10
3006,2017,10
3831,2017,10
3006,2017,10
3410,2017,10
3115,2017,10
3115,2017,10
2647,2017,10
3170,2017,10
3301,2017,10
3802,2017,10
3410,2017,10
3115,2017,10
3115,2017,10
3402,2017,10
3114,2017,10
3114,2017,10
3006,2017,10
619,2017,10
3831,2017,10
3006,2017,10
3803,2017,10
3803,2017,10
802,2017,10
2647,2017,10
3115,2017,10
3006,2017,10
1402,2017,10
2647,2017,10
3115,2017,10
614,2017,10
1402,2017,10
2405,2017,10
2647,2017,10
3001,2017,10
3006,2017,10
3802,2017,10
3831,2017,10
3114,2017,10
3502,2017,10
3501,2017,10
1849,2017,10
802,2017,10
2610,2017,10
3410,2017,10
3205,2017,10
1106,2017,10
614,2017,10
3410,2017,10
3114,2017,10
802,2017,10
3410,2017,10
3125,2017,10
802,2017,10
613,2017,10
3803,2017,10
613,2017,10
3114,2017,10
1402,2017,10
3114,2017,10
1810,2017,10
1842,2017,10
413,2017,10
1843,2017,10
1843,2017,10
727,2017,10
735,2017,10
3006,2017,10
3201,2017,10
3201,2017,10
616,2017,10
3301,2017,10
1402,2017,10
802,2017,10
3807,2017,10
3201,2017,10
3114,2017,10
1848,2017,10
3115,2017,10
3301,2017,10
613,2017,10
3201,2017,10
3802,2017,10
522,2017,10
619,2017,10
2647,2017,10
3114,2017,10
3807,2017,10
3201,2017,10
3821,2017,10
3112,2017,10
3114,2017,10
619,2017,10
3803,2017,10
613,2017,10
1810,2017,10
1842,2017,10
3006,2017,10
617,2017,10
3114,2017,10
3202,2017,10
3119,2017,10
3802,2017,10
3301,2017,10
617,2017,10
3115,2017,10
1402,2017,10
3831,2017,10
3125,2017,10
1102,2017,10
3301,2017,10
3501,2017,10
3502,2017,10
3830,2017,10
3114,2017,10
2647,2017,10
3502,2017,10
3410,2017,10
3831,2017,10
1402,2017,10
2647,2017,10
3115,2017,10
617,2017,10
724,2017,10
1300,2017,10
2660,2017,10
2610,2017,10
2905,2017,10
3831,2017,10
1501,2017,10
1848,2017,10
2905,2017,10
616,2017,10
3301,2017,10
1106,2017,10
613,2017,10
2647,2017,10
3125,2017,10
3115,2017,10
614,2017,10
1102,2017,10
3301,2017,10
3114,2017,10
615,2017,10
2629,2017,10
3114,2017,10
1402,2017,10
3201,2017,10
3007,2017,10
1109,2017,10
2610,2017,10
1102,2017,10
3501,2017,10
2623,2017,10
616,2017,10
2647,2017,10
3802,2017,10
3114,2017,10
3410,2017,10
3802,2017,10
3201,2017,10
3115,2017,10
1102,2017,10
1402,2017,10
3830,2017,10
3114,2017,10
619,2017,10
542,2017,10
3114,2017,10
3301,2017,10
3114,2017,10
2647,2017,10
2610,2017,10
3006,2017,10
3112,2017,10
1102,2017,10
802,2017,10
3410,2017,10
3125,2017,10
3119,2017,10
3301,2017,10
1402,2017,10
3410,2017,10
619,2017,10
1402,2017,10
3410,2017,10
3114,2017,10
3410,2017,10
1402,2017,10
3410,2017,10
614,2017,10
735,2017,10
3301,2017,10
1402,2017,10
3006,2017,10
3301,2017,10
2914,2017,10
2647,2017,10
2629,2017,10
619,2017,10
3125,2017,10
1300,2017,10
541,2017,10
3006,2017,10
3115,2017,10
3115,2017,10
3114,2017,10
802,2017,10
3018,2017,10
3801,2017,10
3006,2017,10
3802,2017,10
1402,2017,10
3831,2017,10
301,2017,10
802,2017,10
3111,2017,10
3802,2017,10
3501,2017,10
3502,2017,10
802,2017,10
3301,2017,10
1402,2017,10
1402,2017,10
1300,2017,10
614,2017,10
3125,2017,10
3114,2017,10
413,2017,10
3501,2017,10
3502,2017,10
3501,2017,10
3502,2017,10
521,2017,10
3006,2017,10
3831,2017,10
802,2017,10
802,2017,10
3304,2017,10
3304,2017,10
3304,2017,10
3410,2017,10
3114,2017,10
1402,2017,10
3304,2017,10
802,2017,10
3501,2017,10
3802,2017,10
3001,2017,10
617,2017,10
724,2017,10
3801,2017,10
617,2017,10
1830,2017,10
3201,2017,10
3201,2017,10
3114,2017,10
802,2017,10
802,2017,10
423,2017,10
521,2017,10
1402,2017,10
522,2017,10
613,2017,10
3114,2017,10
3410,2017,10
3115,2017,10
802,2017,10
3170,2017,10
3831,2017,10
1849,2017,10
522,2017,10
3108,2017,10
3301,2017,10
3108,2017,10
522,2017,10
1402,2017,10
1001,2017,10
3410,2017,10
3125,2017,10
619,2017,10
3207,2017,10
2204,2017,10
619,2017,10
802,2017,10
3803,2017,10
3125,2017,10
3802,2017,10
1402,2017,10
3007,2017,10
3301,2017,10
413,2017,10
2604,2017,10
1402,2017,10
3502,2017,10
802,2017,10
2403,2017,10
2647,2017,10
613,2017,10
2647,2017,10
2647,2017,10
1402,2017,10
3114,2017,10
3805,2017,10
3006,2017,10
3301,2017,10
3802,2017,10
617,2017,10
3115,2017,10
617,2017,10
3301,2017,10
3301,2017,10
1810,2017,10
3115,2017,10
1842,2017,10
1402,2017,10
1849,2017,10
2629,2017,10
3810,2017,10
1874,2017,10
2900,2017,10
2900,2017,10
3008,2017,10
3115,2017,10
2629,2017,10
617,2017,10
1402,2017,10
617,2017,10
617,2017,10
3109,2017,10
3301,2017,10
1402,2017,10
615,2017,10
1001,2017,10
3115,2017,10
413,2017,10
724,2017,10
1300,2017,10
2647,2017,10
2647,2017,10
1001,2017,10
1842,2017,10
724,2017,10
3831,2017,10
2610,2017,10
3802,2017,10
1402,2017,10
3001,2017,10
522,2017,10
617,2017,10
2629,2017,10
3115,2017,10
3115,2017,10
3115,2017,10
3115,2017,10
1843,2017,10
3115,2017,10
1106,2017,10
802,2017,10
2647,2017,10
3125,2017,10
3831,2017,10
3803,2017,10
3115,2017,10
3207,2017,10
3301,2017,10
801,2017,10
3006,2017,10
3831,2017,10
1001,2017,10
3114,2017,10
3801,2017,10
540,2017,10
3114,2017,10
1001,2017,10
619,2017,10
3831,2017,10
3410,2017,10
3115,2017,10
3125,2017,10
3115,2017,10
1102,2017,10
3007,2017,10
3625,2017,10
520,2017,10
617,2017,10
3301,2017,10
3115,2017,10
3006,2017,10
1106,2017,10
3006,2017,10
3803,2017,10
2907,2017,10
3801,2017,10
1106,2017,10
613,2017,10
3207,2017,10
3125,2017,10
3831,2017,10
615,2017,10
3115,2017,10
619,2017,10
1201,2017,10
3108,2017,10
2629,2017,10
2629,2017,10
3114,2017,10
2900,2017,10
3115,2017,10
3006,2017,10
802,2017,10
3006,2017,10
3201,2017,10
614,2017,10
3115,2017,10
3108,2017,10
802,2017,10
3006,2017,10
2647,2017,10
802,2017,10
3006,2017,10
619,2017,10
3807,2017,10
802,2017,10
1402,2017,10
1106,2017,10
2007,2017,10
3115,2017,10
520,2017,10
613,2017,10
3125,2017,10
616,2017,10
3114,2017,10
3805,2017,10
2646,2017,10
2657,2017,10
560,2017,10
3802,2017,10
3207,2017,10
540,2017,10
3109,2017,10
617,2017,10
3301,2017,10
3831,2017,10
3831,2017,10
617,2017,10
2629,2017,10
2610,2017,10
3801,2017,10
1849,2017,10
3301,2017,10
3803,2017,10
617,2017,10
3501,2017,10
3502,2017,10
3205,2017,10
617,2017,10
2647,2017,10
3115,2017,10
1842,2017,10
3006,2017,10
3115,2017,10
3831,2017,10
3006,2017,10
3410,2017,10
619,2017,10
3410,2017,10
2629,2017,10
2647,2017,10
520,2017,10
3006,2017,10
3301,2017,10
2610,2017,10
3115,2017,10
3802,2017,10
522,2017,10
3301,2017,10
3831,2017,10
2647,2017,10
706,2017,10
1300,2017,10
3125,2017,10
520,2017,10
3831,2017,10
735,2017,10
2632,2017,10
3831,2017,10
614,2017,10
3831,2017,10
614,2017,10
1402,2017,10
520,2017,10
3115,2017,10
560,2017,10
3802,2017,10
3201,2017,10
3301,2017,10
3114,2017,10
3114,2017,10
3006,2017,10
1402,2017,10
3207,2017,10
3802,2017,10
615,2017,10
1402,2017,10
3115,2017,10
802,2017,10
3207,2017,10
3160,2017,10
2900,2017,10
3801,2017,10
3111,2017,10
2101,2017,10
3831,2017,10
1846,2017,10
2610,2017,10
3202,2017,10
1402,2017,10
2405,2017,10
3125,2017,10
3114,2017,10
3018,2017,10
3410,2017,10
3831,2017,10
3114,2017,10
3410,2017,10
301,2017,10
802,2017,10
2662,2017,10
3119,2017,10
3111,2017,10
3115,2017,10
3830,2017,10
3115,2017,10
613,2017,10
2004,2017,10
3108,2017,10
802,2017,10
1402,2017,10
3301,2017,10
3503,2017,10
3803,2017,10
3410,2017,10
617,2017,10
3114,2017,10
3115,2017,10
2610,2017,10
3830,2017,10
361,2017,10
3018,2017,10
3810,2017,10
617,2017,10
1300,2017,10
3125,2017,10
3830,2017,10
3502,2017,10
3115,2017,10
3006,2017,10
3006,2017,10
3410,2017,10
3115,2017,10
3115,2017,10
1810,2017,10
1842,2017,10
3115,2017,10
311,2017,10
1402,2017,10
3002,2017,10
3201,2017,10
3831,2017,10
1831,2017,10
3830,2017,10
301,2017,10
522,2017,10
3115,2017,10
3301,2017,10
3625,2017,10
3006,2017,10
2647,2017,10
3301,2017,10
3125,2017,10
1849,2017,10
522,2017,10
1402,2017,10
616,2017,10
3301,2017,10
3115,2017,10
3114,2017,10
3201,2017,10
2405,2017,10
2646,2017,10
1402,2017,10
3831,2017,10
2905,2017,10
3802,2017,10
3207,2017,10
3831,2017,10
3501,2017,10
3201,2017,10
3831,2017,10
2647,2017,10
801,2017,10
2405,2017,10
724,2017,10
617,2017,10
413,2017,10
3208,2017,10
3802,2017,10
2010,2017,10
371,2017,10
802,2017,10
3803,2017,10
1304,2017,10
614,2017,10
3301,2017,10
3831,2017,10
802,2017,10
3114,2017,10
3301,2017,10
1830,2017,10
1102,2017,10
614,2017,10
3501,2017,10
3502,2017,10
616,2017,10
1842,2017,10
2647,2017,10
2907,2017,10
1849,2017,10
1842,2017,10
3115,2017,10
1107,2017,10
613,2017,10
3006,2017,10
619,2017,10
2905,2017,10
3006,2017,10
1402,2017,10
617,2017,10
3115,2017,10
1843,2017,10
3811,2017,10
3831,2017,10
3503,2017,10
3820,2017,10
2647,2017,10
3831,2017,10
802,2017,10
1874,2017,10
614,2017,10
613,2017,10
3115,2017,10
1106,2017,10
413,2017,10
619,2017,10
3006,2017,10
2005,2017,10
3802,2017,10
3802,2017,10
614,2017,10
3114,2017,10
520,2017,10
3803,2017,10
3301,2017,10
1842,2017,10
1874,2017,10
1810,2017,10
614,2017,10
724,2017,10
423,2017,10
802,2017,10
2647,2017,10
3803,2017,10
613,2017,10
2647,2017,10
1107,2017,10
2647,2017,10
617,2017,10
3006,2017,10
2662,2017,10
2612,2017,10
413,2017,10
3006,2017,10
1501,2017,10
3805,2017,10
3831,2017,10
3115,2017,10
3115,2017,10
802,2017,10
3501,2017,10
3502,2017,10
2629,2017,10
2511,2017,10
1106,2017,10
3115,2017,10
619,2017,10
802,2017,10
802,2017,10
3006,2017,10
3831,2017,10
3125,2017,10
3115,2017,10
3207,2017,10
619,2017,10
3410,2017,10
3106,2017,10
3006,2017,10
1300,2017,10
522,2017,10
2647,2017,10
3125,2017,10
3831,2017,10
3114,2017,10
614,2017,10
3006,2017,10
3201,2017,10
3115,2017,10
3410,2017,10
3018,2017,10
802,2017,10
613,2017,10
3410,2017,10
1102,2017,10
3006,2017,10
616,2017,10
3115,2017,10
3006,2017,10
520,2017,10
3108,2017,10
3802,2017,10
619,2017,10
3301,2017,10
3201,2017,10
617,2017,10
3006,2017,10
3801,2017,10
2405,2017,10
2647,2017,10
3125,2017,10
1402,2017,10
3501,2017,10
3502,2017,10
2005,2017,10
2900,2017,10
3112,2017,10
2907,2017,10
1106,2017,10
1300,2017,10
3006,2017,10
617,2017,10
3301,2017,10
3410,2017,10
3410,2017,10
3410,2017,10
3625,2017,10
3805,2017,10
1402,2017,10
3115,2017,10
3001,2017,10
724,2017,10
1402,2017,10
3006,2017,10
3115,2017,10
1001,2017,10
3820,2017,10
3114,2017,10
3018,2017,10
3115,2017,10
3831,2017,10
1402,2017,10
802,2017,10
2612,2017,10
802,2017,10
3410,2017,10
617,2017,10
900,2017,10
3807,2017,10
3811,2017,10
802,2017,10
2629,2017,10
3007,2017,10
3125,2017,10
3301,2017,10
3201,2017,10
3018,2017,10
542,2017,10
3115,2017,10
802,2017,10
3831,2017,10
3831,2017,10
3208,2017,10
2914,2017,10
2101,2017,10
2905,2017,10
3207,2017,10
3301,2017,10
3830,2017,10
3810,2017,10
613,2017,10
3807,2017,10
3410,2017,10
1402,2017,10
617,2017,10
801,2017,10
724,2017,10
413,2017,10
802,2017,10
3006,2017,10
3201,2017,10
802,2017,10
2632,2017,10
520,2017,10
802,2017,10
413,2017,10
802,2017,10
2610,2017,10
3125,2017,10
3410,2017,10
413,2017,10
3410,2017,10
3006,2017,10
3006,2017,10
3125,2017,10
3125,2017,10
3807,2017,10
3802,2017,10
3111,2017,10
3301,2017,10
3301,2017,10
724,2017,10
3114,2017,10
3207,2017,10
3410,2017,10
3002,2017,10
3301,2017,10
3410,2017,10
802,2017,10
3125,2017,10
1874,2017,10
3502,2017,10
3501,2017,10
3114,2017,10
3205,2017,10
3007,2017,10
3111,2017,10
3108,2017,10
3006,2017,10
3006,2017,10
3410,2017,10
3115,2017,10
522,2017,10
614,2017,10
3802,2017,10
3801,2017,10
3115,2017,10
3006,2017,10
3803,2017,10
3207,2017,10
3115,2017,10
3006,2017,10
2646,2017,10
3831,2017,10
1402,2017,10
3115,2017,10
3501,2017,10
3502,2017,10
3301,2017,10
613,2017,10
1106,2017,10
614,2017,10
3115,2017,10
617,2017,10
3831,2017,10
3001,2017,10
3301,2017,10
3006,2017,10
617,2017,10
619,2017,10
3115,2017,10
3501,2017,10
3502,2017,10
2647,2017,10
616,2017,10
3006,2017,10
3114,2017,10
3207,2017,10
617,2017,10
3114,2017,10
3301,2017,10
1402,2017,10
3115,2017,10
1102,2017,10
413,2017,10
616,2017,10
3007,2017,10
613,2017,10
3115,2017,10
3301,2017,10
614,2017,10
2905,2017,10
1402,2017,10
619,2017,10
3502,2017,10
3125,2017,10
619,2017,10
3301,2017,10
3114,2017,10
413,2017,10
1510,2017,10
1849,2017,10
1831,2017,10
3802,2017,10
3301,2017,10
3006,2017,10
2647,2017,10
2647,2017,10
617,2017,10
3201,2017,10
613,2017,10
802,2017,10
3207,2017,10
619,2017,10
1830,2017,10
3115,2017,10
520,2017,10
3301,2017,10
2900,2017,10
3125,2017,10
1001,2017,10
3115,2017,10
2647,2017,10
3810,2017,10
617,2017,10
413,2017,10
3301,2017,10
3114,2017,10
3831,2017,10
3115,2017,10
1847,2017,10
802,2017,10
613,2017,10
3114,2017,10
520,2017,10
3114,2017,10
2647,2017,10
619,2017,10
3006,2017,10
2647,2017,10
614,2017,10
3207,2017,10
3125,2017,10
614,2017,10
3125,2017,10
3802,2017,10
3803,2017,10
735,2017,10
3830,2017,10
3831,2017,10
3115,2017,10
3301,2017,10
3114,2017,10
3802,2017,10
522,2017,10
2647,2017,10
3201,2017,10
3831,2017,10
423,2017,10
3125,2017,10
3130,2017,10
1501,2017,10
2405,2017,10
3207,2017,10
735,2017,10
3114,2017,10
3201,2017,10
3007,2017,10
1102,2017,10
522,2017,10
3109,2017,10
3803,2017,10
2007,2017,10
1102,2017,10
522,2017,10
614,2017,10
3802,2017,10
3803,2017,10
3201,2017,10
2900,2017,10
802,2017,10
3207,2017,10
619,2017,10
3125,2017,10
617,2017,10
1102,2017,10
2662,2017,10
1402,2017,10
3831,2017,10
3831,2017,10
3114,2017,10
1001,2017,10
2907,2017,10
3006,2017,10
3114,2017,10
3831,2017,10
2907,2017,10
3115,2017,10
3109,2017,10
2647,2017,10
3006,2017,10
724,2017,10
3207,2017,10
802,2017,10
301,2017,10
301,2017,10
423,2017,10
3125,2017,10
3831,2017,10
3115,2017,10
3115,2017,10
3831,2017,10
1402,2017,10
724,2017,10
3802,2017,10
3501,2017,10
3125,2017,10
724,2017,10
3802,2017,10
3006,2017,10
1107,2017,10
614,2017,10
614,2017,10
1848,2017,10
2905,2017,10
2657,2017,10
3802,2017,10
3006,2017,10
3207,2017,10
3803,2017,10
619,2017,10
423,2017,10
3115,2017,10
614,2017,10
3410,2017,10
3410,2017,10
3114,2017,10
2900,2017,10
522,2017,10
3803,2017,10
1106,2017,10
1402,2017,10
1402,2017,10
3410,2017,10
2900,2017,10
3831,2017,10
614,2017,10
2646,2017,10
2646,2017,10
3801,2017,10
3410,2017,10
3301,2017,10
3831,2017,10
3201,2017,10
3831,2017,10
614,2017,10
1402,2017,10
3803,2017,10
3006,2017,10
3831,2017,10
1402,2017,10
1402,2017,10
802,2017,10
3410,2017,10
3201,2017,10
3811,2017,10
615,2017,10
1402,2017,10
3115,2017,10
520,2017,10
3125,2017,10
614,2017,10
3831,2017,10
3006,2017,10
724,2017,10
614,2017,10
2629,2017,10
802,2017,10
1402,2017,10
3201,2017,10
3115,2017,10
3006,2017,10
3114,2017,10
1402,2017,10
1830,2017,10
3115,2017,10
802,2017,10
3301,2017,10
3006,2017,10
3831,2017,10
3125,2017,10
3115,2017,10
413,2017,10
3125,2017,10
1402,2017,10
301,2017,10
423,2017,10
2914,2017,10
3115,2017,10
2629,2017,10
1402,2017,10
3410,2017,10
542,2017,10
301,2017,10
3801,2017,10
3111,2017,10
3006,2017,10
3115,2017,10
3207,2017,10
521,2017,10
3115,2017,10
3115,2017,10
1402,2017,10
614,2017,10
1402,2017,10
3502,2017,10
3006,2017,10
617,2017,10
802,2017,10
617,2017,10
619,2017,10
3115,2017,10
3402,2017,10
3301,2017,10
802,2017,10
2662,2017,10
311,2017,10
301,2017,10
3115,2017,10
1830,2017,10
3410,2017,10
3114,2017,10
3802,2017,10
3115,2017,10
3006,2017,10
3301,2017,10
3410,2017,10
1501,2017,10
2629,2017,10
3201,2017,10
3831,2017,10
522,2017,10
3115,2017,10
1106,2017,10
613,2017,10
3801,2017,10
3207,2017,10
619,2017,10
3503,2017,10
614,2017,10
802,2017,10
3114,2017,10
616,2017,10
3301,2017,10
802,2017,10
1402,2017,10
1843,2017,10
619,2017,10
2647,2017,10
3410,2017,10
3115,2017,10
619,2017,10
3803,2017,10
1504,2017,10
3410,2017,10
2007,2017,10
1402,2017,10
3410,2017,10
2629,2017,10
2900,2017,10
724,2017,10
802,2017,10
1830,2017,10
3018,2017,10
614,2017,10
2905,2017,10
3115,2017,10
1810,2017,10
802,2017,10
3207,2017,10
1841,2017,10
3201,2017,10
3502,2017,10
3125,2017,10
802,2017,10
361,2017,10
1830,2017,10
301,2017,10
3006,2017,10
614,2017,10
3802,2017,10
3115,2017,10
3820,2017,10
3006,2017,10
1402,2017,10
2405,2017,10
1102,2017,10
2647,2017,10
2647,2017,10
3410,2017,10
616,2017,10
520,2017,10
3201,2017,10
1848,2017,10
311,2017,10
3501,2017,10
3502,2017,10
1810,2017,10
3125,2017,10
3301,2017,10
3802,2017,10
3803,2017,10
3803,2017,10
3207,2017,10
2007,2017,10
3006,2017,10
301,2017,10
619,2017,10
2629,2017,10
801,2017,10
2610,2017,10
2647,2017,10
2647,2017,10
520,2017,10
2629,2017,10
1304,2017,10
3006,2017,10
2662,2017,10
617,2017,10
3115,2017,10
1848,2017,10
3115,2017,10
3114,2017,10
1402,2017,10
1402,2017,10
616,2017,10
1843,2017,10
2906,2017,10
2401,2017,10
2006,2017,10
617,2017,10
2401,2017,10
724,2017,10
3006,2017,10
3803,2017,10
3802,2017,10
3006,2017,10
3201,2017,10
3006,2017,10
1106,2017,10
2647,2017,10
3301,2017,10
3831,2017,10
3006,2017,10
1830,2017,10
3201,2017,10
1830,2017,10
3503,2017,10
520,2017,10
3802,2017,10
3115,2017,10
423,2017,10
802,2017,10
617,2017,10
1201,2017,10
617,2017,10
2647,2017,10
1106,2017,10
3201,2017,10
3102,2017,10
1402,2017,10
3831,2017,10
1102,2017,10
2647,2017,10
3115,2017,10
1102,2017,10
2660,2017,10
301,2017,10
802,2017,10
520,2017,10
413,2017,10
2405,2017,10
2647,2017,10
1402,2017,10
3006,2017,10
3114,2017,10
617,2017,10
611,2017,10
1106,2017,10
3207,2017,10
1806,2017,10
614,2017,10
802,2017,10
1402,2017,10
3115,2017,10
3106,2017,10
2662,2017,10
3006,2017,10
3115,2017,10
3006,2017,10
3006,2017,10
3006,2017,10
3006,2017,10
2629,2017,10
3207,2017,10
3114,2017,10
802,2017,10
3006,2017,10
1402,2017,10
2647,2017,10
611,2017,10
3006,2017,10
3201,2017,10
3501,2017,10
3502,2017,10
3114,2017,10
3201,2017,10
3301,2017,10
3115,2017,10
1810,2017,10
3115,2017,10
1842,2017,10
542,2017,10
3201,2017,10
1107,2017,10
3803,2017,10
3125,2017,10
3201,2017,10
3106,2017,10
3006,2017,10
522,2017,10
1402,2017,10
3802,2017,10
3006,2017,10
3006,2017,10
3410,2017,10
3811,2017,10
2006,2017,10
614,2017,10
3410,2017,10
1849,2017,10
3130,2017,10
617,2017,10
1402,2017,10
3115,2017,10
2647,2017,10
617,2017,10
2007,2017,10
3410,2017,10
735,2017,10
2647,2017,10
1402,2017,10
614,2017,10
3410,2017,10
614,2017,10
3801,2017,10
3803,2017,10
3501,2017,10
3115,2017,10
3410,2017,10
3125,2017,10
3301,2017,10
619,2016,10
614,2017,10
613,2017,10
3115,2017,10
3831,2017,10
3410,2017,10
1402,2017,10
614,2017,10
520,2017,10
3807,2017,10
3820,2017,10
3805,2017,10
3114,2017,10
724,2017,10
3820,2017,10
802,2017,10
3115,2017,10
617,2017,10
802,2017,10
3125,2017,10
2629,2017,10
3831,2017,10
3831,2017,10
3008,2017,10
619,2017,10
2660,2017,10
1001,2017,10
1102,2017,10
1402,2017,10
1402,2017,10
3820,2017,10
3115,2017,10
542,2017,10
619,2017,10
521,2017,10
3006,2017,10
3831,2017,10
301,2017,10
3301,2017,10
617,2017,10
3006,2017,10
3301,2017,10
413,2017,10
413,2017,10
3114,2017,10
3006,2017,10
301,2017,10
1304,2017,10
614,2017,10
3006,2017,10
3201,2017,10
3006,2017,10
3115,2017,10
1402,2017,10
802,2017,10
3114,2017,10
3125,2017,10
3112,2017,10
614,2017,10
3115,2017,10
3301,2017,10
